,Unnamed: 0,GDP,PCE,Inv,G
111,2007-12-01,13326.0,9312.6,2123.6,2455.3
112,2008-03-01,13266.8,9289.1,2055.7,2473.9
113,2008-06-01,13310.5,9285.8,2024.0,2484.5
114,2008-09-01,13186.9,9196.0,1934.7,2510.7
115,2008-12-01,12883.5,9076.0,1744.6,2520.5
116,2009-03-01,12663.2,9040.9,1490.4,2509.6
117,2009-06-01,12641.3,8998.5,1397.2,2546.0
118,2009-09-01,12694.5,9050.3,1407.3,2554.2
119,2009-12-01,12813.5,9060.2,1522.0,2548.5
120,2010-03-01,12937.7,9121.2,1630.0,2540.6
121,2010-06-01,13058.5,9186.9,1728.3,2564.0
122,2010-09-01,13139.6,9247.1,1766.8,2570.3
123,2010-12-01,13216.1,9328.4,1734.5,2552.1
124,2011-03-01,13227.9,9376.7,1750.9,2513.9
125,2011-06-01,13271.8,9392.7,1778.4,2508.2
126,2011-09-01,13331.6,9433.5,1784.2,2507.6
127,2011-12-01,13429.0,9482.1,1875.7,2481.2
128,2012-03-01,13502.4,9550.2,1903.0,2462.2
